iter	Passed	Remaining
0	58	58091
1	58	29131
2	58	19480
3	58	14658
4	59	11759
5	59	9822
6	59	8438
7	59	7401
8	59	6594
9	60	5948
10	60	5416
11	60	4983
12	60	4607
13	60	4284
14	61	4007
15	61	3762
16	61	3546
17	61	3355
18	61	3183
19	61	3029
20	61	2889
21	62	2762
22	62	2644
23	62	2538
24	62	2441
25	62	2351
26	62	2267
27	63	2188
28	63	2115
29	63	2048
30	63	1985
31	63	1929
32	63	1873
33	64	1822
34	64	1774
35	64	1728
36	64	1683
37	64	1643
38	65	1605
39	65	1568
40	65	1532
41	65	1498
42	65	1463
43	65	1432
44	66	1402
45	66	1372
46	66	1345
47	66	1319
48	66	1294
49	66	1270
50	67	1247
51	67	1223
52	67	1200
53	67	1179
54	67	1159
55	67	1140
56	67	1121
57	67	1103
58	68	1086
59	68	1069
60	68	1053
61	68	1037
62	68	1022
63	68	1008
64	69	994
65	69	980
66	69	967
67	69	954
68	69	941
69	69	929
70	70	917
71	70	906
72	70	894
73	70	883
74	70	873
75	70	863
76	71	852
77	71	842
78	71	833
79	71	824
80	71	815
81	72	806
82	72	797
83	72	788
84	72	780
85	72	773
86	72	765
87	73	758
88	73	751
89	73	744
90	73	737
91	73	729
92	74	722
93	74	715
94	74	708
95	74	702
96	74	695
97	74	688
98	74	682
99	75	676
100	75	669
101	75	663
102	75	657
103	75	652
104	75	647
105	76	641
106	76	636
107	76	631
108	76	627
109	76	621
110	77	616
111	77	611
112	77	606
113	77	601
114	77	596
115	77	592
116	77	588
117	78	583
118	78	579
119	78	575
120	78	571
121	78	568
122	79	564
123	79	560
124	79	556
125	79	552
126	79	548
127	79	544
128	80	540
129	80	537
130	80	533
131	80	529
132	80	526
133	80	523
134	81	519
135	81	516
136	81	513
137	81	510
138	81	507
139	82	503
140	82	500
141	82	497
142	82	494
143	82	491
144	82	488
145	83	485
146	83	483
147	83	480
148	83	478
149	83	475
150	84	472
151	84	469
152	84	467
153	84	464
154	84	461
155	84	459
156	85	456
157	85	454
158	85	452
159	85	449
160	85	448
161	86	445
162	86	443
163	86	440
164	86	438
165	86	436
166	87	433
167	87	431
168	87	429
169	87	427
170	87	424
171	87	422
172	88	420
173	88	418
174	88	416
175	88	414
176	88	412
177	88	410
178	89	408
179	89	406
180	89	404
181	89	402
182	89	400
183	89	398
184	90	396
185	90	394
186	90	393
187	91	394
188	91	392
189	91	390
190	91	388
191	92	387
192	92	385
193	92	384
194	92	382
195	92	380
196	92	378
197	93	377
198	93	375
199	93	373
200	93	372
201	93	370
202	94	369
203	94	367
204	94	365
205	94	364
206	94	363
207	94	361
208	95	359
209	95	358
210	95	356
211	95	355
212	95	354
213	95	352
214	96	351
215	96	349
216	96	348
217	96	347
218	96	345
219	97	344
220	97	342
221	97	341
222	97	340
223	97	338
224	97	337
225	98	336
226	98	335
227	98	333
228	98	332
229	98	331
230	99	330
231	99	328
232	99	327
233	99	326
234	99	325
235	100	323
236	100	322
237	100	321
238	100	319
239	100	318
240	100	317
241	101	316
242	101	315
243	101	314
244	101	313
245	101	312
246	102	311
247	102	309
248	102	308
249	102	307
250	102	306
251	102	305
252	103	304
253	103	303
254	103	302
255	103	301
256	104	300
257	104	299
258	104	298
259	104	297
260	104	296
261	105	295
262	105	295
263	105	294
264	105	293
265	105	292
266	106	291
267	106	290
268	106	289
269	106	288
270	106	287
271	107	286
272	107	285
273	107	284
274	107	283
275	107	282
276	107	281
277	108	280
278	108	279
279	108	278
280	108	277
281	108	276
282	108	276
283	109	275
284	109	274
285	109	273
286	109	272
287	109	271
288	109	270
289	110	269
290	110	268
291	110	267
292	110	266
293	110	265
294	110	264
295	111	264
296	111	263
297	111	262
298	111	261
299	111	260
300	112	260
301	112	259
302	112	258
303	112	257
304	112	256
305	112	256
306	113	255
307	113	254
308	113	253
309	113	253
310	113	252
311	114	251
312	114	250
313	114	250
314	114	249
315	114	248
316	115	247
317	115	247
318	115	246
319	115	245
320	115	245
321	116	244
322	116	243
323	116	242
324	116	242
325	116	241
326	116	240
327	117	239
328	117	239
329	117	238
330	117	237
331	117	237
332	117	236
333	118	235
334	118	234
335	118	234
336	118	233
337	118	232
338	119	232
339	119	231
340	119	230
341	119	230
342	119	229
343	119	228
344	120	228
345	120	227
346	120	226
347	120	226
348	120	225
349	121	225
350	121	224
351	121	223
352	121	223
353	121	222
354	122	221
355	122	221
356	122	220
357	122	219
358	122	219
359	122	218
360	123	217
361	123	217
362	123	216
363	123	216
364	123	215
365	124	214
366	124	214
367	124	213
368	124	213
369	124	212
370	124	211
371	125	211
372	125	210
373	125	210
374	125	209
375	125	208
376	126	208
377	126	207
378	126	207
379	126	206
380	126	206
381	127	205
382	127	204
383	127	204
384	127	203
385	127	203
386	127	202
387	128	202
388	128	201
389	128	200
390	128	200
391	128	199
392	129	199
393	129	198
394	129	198
395	129	197
396	129	197
397	129	196
398	130	196
399	130	195
400	130	195
401	130	194
402	130	193
403	131	193
404	131	192
405	131	192
406	131	191
407	131	191
408	131	190
409	132	190
410	132	189
411	132	189
412	132	188
413	133	188
414	133	187
415	133	187
416	133	187
417	133	186
418	134	185
419	134	185
420	134	185
421	134	184
422	134	184
423	135	183
424	135	183
425	135	182
426	135	182
427	135	181
428	136	181
429	136	180
430	136	180
431	136	179
432	136	179
433	136	178
434	137	178
435	137	178
436	138	178
437	138	177
438	138	177
439	138	176
440	138	176
441	139	175
442	139	175
443	139	174
444	139	174
445	139	173
446	140	173
447	140	172
448	140	172
449	140	171
450	140	171
451	140	170
452	141	170
453	141	169
454	141	169
455	141	168
456	141	168
457	141	167
458	141	167
459	142	166
460	142	166
461	142	165
462	142	165
463	142	164
464	142	164
465	143	163
466	143	163
467	143	163
468	143	162
469	143	162
470	143	161
471	144	161
472	144	160
473	144	160
474	144	159
475	144	159
476	145	159
477	145	158
478	145	158
479	145	157
480	145	157
481	145	156
482	146	156
483	146	155
484	146	155
485	146	155
486	146	154
487	147	154
488	147	153
489	147	153
490	147	152
491	147	152
492	147	152
493	148	151
494	148	151
495	148	150
496	148	150
497	148	149
498	148	149
499	149	149
500	149	148
501	149	148
502	149	148
