iter	Passed	Remaining
0	58	58201
1	58	29196
2	58	19518
3	58	14680
4	59	11778
5	59	9843
6	59	8464
7	59	7430
8	60	6630
9	60	5986
10	60	5459
11	60	5016
12	61	4643
13	61	4321
14	61	4045
15	61	3804
16	62	3588
17	62	3399
18	62	3227
19	62	3072
20	62	2935
21	63	2812
22	63	2695
23	63	2589
24	63	2492
25	64	2402
26	64	2318
27	64	2241
28	64	2169
29	65	2102
30	65	2039
31	65	1979
32	65	1923
33	65	1872
34	66	1822
35	66	1785
36	66	1741
37	67	1699
38	67	1660
39	67	1621
40	67	1587
41	68	1552
42	68	1520
43	68	1488
44	68	1458
45	68	1429
46	69	1401
47	69	1374
48	69	1349
49	69	1324
50	69	1300
51	70	1279
52	70	1256
53	70	1235
54	70	1215
55	70	1195
56	71	1177
57	71	1159
58	71	1141
59	71	1123
60	71	1106
61	72	1090
62	72	1075
63	72	1061
64	72	1047
65	73	1033
66	73	1019
67	73	1006
68	73	993
69	73	980
70	73	968
71	74	956
72	74	944
73	74	932
74	74	921
75	74	910
76	75	900
77	75	889
78	75	880
79	75	871
80	75	861
81	76	852
82	76	842
83	76	833
84	76	825
85	76	817
86	77	809
87	77	801
88	77	794
89	77	787
90	78	779
91	78	772
92	78	765
93	78	758
94	78	752
95	79	745
96	79	738
97	79	731
98	79	725
99	79	719
100	80	713
101	80	707
102	80	701
103	80	695
104	80	689
105	81	683
106	81	677
107	81	672
108	81	666
109	81	661
110	81	656
111	82	651
112	82	646
113	82	641
114	82	636
115	82	631
116	82	626
117	83	621
118	83	617
119	83	613
120	83	609
121	83	604
122	84	600
123	84	596
124	84	592
125	84	588
126	85	584
127	85	580
128	85	576
129	85	573
130	85	569
131	86	566
132	86	562
133	86	559
134	86	556
135	87	553
136	87	549
137	87	546
138	87	543
139	87	540
140	88	537
141	88	533
142	88	530
143	88	527
144	88	524
145	89	521
146	89	518
147	89	515
148	89	513
149	90	510
150	90	507
151	90	504
152	90	502
153	90	499
154	91	496
155	91	494
156	91	491
157	91	489
158	91	486
159	92	483
160	92	481
161	92	478
162	92	476
163	92	473
164	93	471
165	93	468
166	93	466
167	93	464
168	94	462
169	94	460
170	94	458
171	94	455
172	94	454
173	95	451
174	95	449
175	95	448
176	95	445
177	96	443
178	96	441
179	96	439
180	96	437
181	96	435
182	97	434
183	97	432
184	97	430
185	97	428
186	98	426
187	98	424
188	98	423
189	98	421
190	99	419
191	99	418
192	99	416
193	99	414
194	100	413
195	100	411
196	100	410
197	100	408
198	101	406
199	101	404
200	101	403
201	101	401
202	101	400
203	102	398
204	102	397
205	102	395
206	102	394
207	103	392
208	103	390
209	103	389
210	103	387
211	103	386
212	104	384
213	104	383
214	104	381
215	104	380
216	104	378
217	105	377
218	105	375
219	105	374
220	105	372
221	105	371
222	106	369
223	106	368
224	106	367
225	106	366
226	107	364
227	107	363
228	107	362
229	107	361
230	108	359
231	108	358
232	108	357
233	109	358
234	109	356
235	109	355
236	110	354
237	110	353
238	110	351
239	110	350
240	110	349
241	111	348
242	111	347
243	111	345
244	111	344
245	112	343
246	112	342
247	112	341
248	112	340
249	112	338
250	113	337
